isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4297138891,LATEX美文書作成入門,"奥村,晴彦,1951- 黒木,裕介,1982-",技術評論社,202312,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04793011
4798153222,プログラマのためのDocker教科書 : インフラの基礎知識&コードによる環境構築の自動化,"阿佐,志保 山田,祥寛",翔泳社,201804,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25926163
4873117208,作ることで学ぶ : Makerを育てる新しい教育のメソッド (Make : Japan Books),"Martinez,SylviaLibow Stager,Gary 阿部,和広 酒匂,寛,1958-",オーム社,201503,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18301234
4845913143,ラッセンとは何だったのか? : 消費とアートを越えた「先」,"原田, 裕規, 1989-,原田裕規 編著",フィルムアート社,"Fri, 8 Mar 2024 17:31:33 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB12853522
4480427457,絶滅寸前季語辞典,夏井いつき／著,筑摩書房,20100801,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB02970632
4334103804,まったく新しいアカデミック・ライティングの教科書,阿部幸大,光文社,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD07847398
4535540438,因果推論の計量経済学,川口康平 澤田真行,日本評論社,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD0857886X
4297143097,深層ニューラルネットワークの高速化,佐藤竜馬,技術評論社,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD08482782
4903474496,コンピュータグラフィックス = Computer graphics,画像情報教育振興協会,画像情報教育振興協会,201503,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB1832415X
456962457X,素人のように考え、玄人として実行する : 問題解決のメタ技術,"金出,武雄,1945-",PHP研究所,200306,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA62447617
4845921324,映像クリエイターのための完全独学マニュアル,,フィルムアート社,20221026,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC17391975
4845921170,色のコードを読む,ポール・シンプソン／著 中山ゆかり／翻訳,フィルムアート社,20221224,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD00226632
4864260524,調査されるという迷惑　増補版,宮本常一 安渓遊地,みずのわ出版,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD06546443
4798068853,Blender Python完全ガイド,ぬっち,秀和システム,202401,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD05135512
4263731638,マイナーエマージェンシー,"大滝,純司,1958- 齊藤,裕之 Buttaravoli,PhilipM Leffler,StephenM",医歯薬出版,201503,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18444231
4621061453,統計のための行列代数 1 上,,丸善出版,201201,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09108266
4621061526,統計のための行列代数 2 下,,丸善出版,201201,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09108266
4815604975,図解入門TCP/IP = An Illustrated Introduction to TCP/IP : 仕組み・動作が見てわかる,"みやた,ひろし",SBクリエイティブ,202012,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC04797037
4130606077,光の物理　新装版,小林浩一／著,東京大学出版会,20231102,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04591877
1786347849,Science Research Writing: For Native And Non-native Speakers Of English (second Edition),Hilary Glasman-deal,WSPC (EUROPE),2020-11-27,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC04468556
4867660264,予言獣大図鑑,長野栄俊／編著 岩間理紀／著 笹方政紀／著 峰守ひろかず／著,文学通信,20231206,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04773648
4873117437,メタプログラミングRuby,"Perrotta,Paolo 角,征典",オーム社,201510,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19720458
4274227553,凸解析と最適化理論 = Convex Analysis and Optimization Theory,"田中,謙輔,1933-2000",オーム社,202109,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC09853430
4044007527,神秘学講義 G124-1 (角川ソフィア文庫),"高橋,巌,1928-",KADOKAWA,202303,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD01231456
4065332834,中世ヨーロッパの色彩世界 2784 (講談社学術文庫),"徳井,淑子,1949-",講談社,202309,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD03740097
4798027979,わかる!電子工作の基本100,"遠藤,敏夫,1949-",秀和システム,201012,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB04134575
4480084886,日本文学史序説　（下）,加藤周一／著,筑摩書房,19990401,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA41078658
4480084878,日本文学史序説　（上）,加藤周一／著,筑摩書房,19990401,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA41078658
4102184716,ケプラー予想 : 四百年の難問が解けるまで シ-38-12 (新潮文庫),"Szpiro,George,1950- 青木,薫,1956-",新潮社,201401,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB14436537
4331150526,プログラム学習による基礎電気工学 交流編 / 電気基礎講座 ; 3,"松下電器工学院,松下電器工学院 編著","松下電器産業,広済堂出版","Thu, 17 Apr 1997 00:00:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02383030
4331150518,プログラム学習による基礎電気工学 直流編,"松下電器工学院,末武, 国弘,茂木, 弘行,衣川, 正幸,松下電器工学院編著","松下電器産業株式会社,廣済堂科学情報社 (発売)","Fri, 29 Mar 2024 09:07:28 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02383030
433115050X,基礎電子工学 : プログラム学習による 電子回路編　１ ５ (電気基礎講座),松下電器工学院 末武国弘,松下電器産業,1975,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02383289
4040667956,東京大学の学術遺産捃拾帖 103 (メディアファクトリー新書),"モリナガ,ヨウ,1966-",KADOKAWA,201406,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB15919503
400500850X,聖徳太子 : ほんとうの姿を求めて 850 (岩波ジュニア新書),"東野,治之,1946-",岩波書店,201704,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB23491365
4834013871,昔話の語法,"小沢,俊夫,1930-",福音館書店,199910,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA43915332
4908468605,エセ著作権事件簿 Vol.1 (過剰権利主張ケーススタディーズ),友利昴／著,パブリブ,20220711,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC17011633
4061592432,ケルト妖精学 (講談社学術文庫),"井村,君江,1932-",講談社,199608,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN14853823
4480087966,ケルト妖精学 / ちくま学芸文庫,"井村, 君江, 1932-,井村君江 著",筑摩書房,"Tue, 20 Jan 2004 01:54:48 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA64375721
4862464831,ゲームエンジンアーキテクチャ,"Gregory,Jason 今給黎,隆,1972- 湊,和久 大貫,宏美 田中,幸,翻訳家",ボーンデジタル,202012,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC04591359
4798068160,"Good Code,Bad Code : 持続可能な開発のためのソフトウェアエンジニア的思考","Long,Tom 秋,勇紀 高田,新山 山本,大祐,1983-",秀和システム,202302,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD00400015
4764905132,IT技術者の長寿と健康のために,"情報通信医学研究所 長野,宏宣,1945- 中川,晋一,1961- 蒲池,孝一,1947-",近代科学社,201606,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB21703123
4798061700,実践Rustプログラミング入門 = introduction to rust programming,"初田,直也 山口,聖弘 吉川,哲史 豊田,優貴 松本,健太郎,webエンジニア 原,将己 ほか",秀和システム,202009,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC02162486
4344953304,幼なじみ萌え : ラブコメ恋愛文化史,"玉井,建也",幻冬舎,201711,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25511995
4434046683,ハッカーのたのしみ : 本物のプログラマはいかにして問題を解くか,"Warren,HenryS 滝沢,徹",星雲社,200409,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA69226988
4774153265,人間に勝つコンピュータ将棋の作り方,コンピュータ将棋協会,技術評論社,201211,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB10374110
4297102838,逆引きPIC電子工作やりたいこと事典,"後閑, 哲也, 1947-,後閑哲也 著",技術評論社,"Thu, 13 Jun 2019 19:43:25 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB28228061
4588276476,鉄道旅行の歴史　〈新装版〉,W.シヴェルブシュ／著 加藤二郎／訳,法政大学出版局,20111209,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB07866139
4297130343,リアルタイムグラフィックスの数学 = Mathematics of Real-Time Graphics : GLSLではじめるシェーダプログラミング,"巴山,竜来,1982-",技術評論社,202209,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC1650867X
4320122992,量子情報科学入門 = Introduction to Quantum Information Science,"石坂,智 小川,朋宏 河内,亮周",共立出版,201206,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09394904
448009654X,増補　八月十五日の神話,佐藤卓己／著,筑摩書房,20141201,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB17487217
4297129140,作って学ぶコンピュータアーキテクチャ : LLVMとRISC-5による低レイヤプログラミングの基礎,"木村,優之",技術評論社,202207,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC15528922
4484121034,性欲の科学 : なぜ男は「素人」に興奮し、女は「男同士」に萌えるのか,"Ogas,Ogi Gaddam,Sai 坂東,智子,1955-",阪急コミュニケーションズ,201202,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB0861535X
4297128462,達人が教えるWebパフォーマンスチューニング : ISUCONから学ぶ高速化の実践,"藤原,俊一郎 馬場,俊彰 中西,建登 長野,雅広 金子,達哉,1991- 草野,翔",技術評論社,202206,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC14932649
490381419X,これならわかる工学部で学ぶ数学,"千葉,逸人,1982-",プレアデス出版,200902,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB07134061
4478013322,完全独習ベイズ統計学入門,"小島,寛之,1958-",ダイヤモンド社,201511,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB20006408
4806714453,〈図説〉日本の結び,"藤原,覚一,1895-1990",築地書館,201210,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB10461270
4765318699,診察室の陰性感情,"加藤, 温,加藤温 著",金芳堂,"Wed, 23 Jun 2021 19:16:34 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC07553607
458276763X,職人歌合 763 (平凡社ライブラリー),"網野,善彦,1928-2004",平凡社,201205,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09154296
4798044784,"ハロー""Hello,World""OSと標準ライブラリのシゴトとしくみ : たった7行のCプログラムから解き明かす","坂井,弘亮,1973-",秀和システム,201509,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19517170
4779516269,なぜあなたは国際誌に論文を掲載できないのか : 誰も教えてくれなかった本当に必要なこと,"加藤,司,心理学",ナカニシヤ出版,202203,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC13896696
0472034758,Academic writing for graduate students : essential tasks and skills (Michigan series in English for academic and professional purposes),"Swales,John Feak,ChristineB.",University of Michigan Press,c2012-01,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09789061
4044004951,秘境旅行 [J110-4] ([角川ソフィア文庫]),"芳賀,日出男,1921-",KADOKAWA,202001,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB29655159
415209558X,世界を破綻させた経済学者たち : 許されざる七つの大罪,"Madrick,JeffreyG 池村,千秋,1971-",早川書房,201508,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19401416
4065259797,迷走しない!英語論文の書き方 : 秘密は「構造」作りにあり,"Chaubey,Varanya 成田,悠輔 布施,雄士",講談社,202201,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC12475171
4336073198,法の書　〔増補新訳〕　【普及版】,アレイスター・クロウリー／著 植松靖夫／翻訳,国書刊行会,20220222,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC12998941
4480097635,数学基礎論 (ちくま学芸文庫),前原昭二／著 竹内外史／著,筑摩書房,20170110,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB22793165
4873117127,コンピュータシステムの理論と実装 : モダンなコンピュータの作り方,"Nisan,Noam Schocken,Shimon 斎藤,康毅,1984-",オーム社,201503,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18347825
4839909865,CPUの創りかた : IC10個のお手軽CPU設計超入門 : 初歩のデジタル回路動作の基本原理と製作,"渡波,郁",毎日コミュニケーションズ,200309,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA64084966
4404035861,危ない食卓 : 十九世紀イギリス文学にみる食と毒,"横山,茂雄,1954-",新人物往来社,200812,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA88260440
4297125161,"暗号から学ぶ代数学 (数学のみかた,考え方)","川添,充,1968- 上野,健爾,1945-",技術評論社,202112,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC11098661
4322139884,飲みの技法,"Opsopäus,Vincentius 原澤,隆三郎,1951-",きんざい,202110,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC10304440
4094070400,安楽死を遂げた日本人 み20-2 (小学館文庫),"宮下,洋一,1976-",小学館,202107,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC08416612
4062920484,図説金枝篇. 下 2048 (講談社学術文庫),"Frazer,JamesGeorge,1854-1941 MacCormack,Sabine ほか",講談社,201105,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB05410011
4062920476,図説金枝篇. 上 2047 (講談社学術文庫),"Frazer,JamesGeorge,1854-1941 MacCormack,Sabine ほか",講談社,201104,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB05410011
4839973490,詳解セキュリティコンテスト : CTFで学ぶ脆弱性攻略の技術 (Compass Security),"梅内,翼 清水,祐太郎 藤原,裕大 前田,優人 米内,貴志 渡部,裕",マイナビ出版,202107,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC08654100
4991119006,数理物理研究 1,"田中, 俊行,小西, 巌,相原, 典明,横山, 賢, 1952-,片桐, 奏羽, 1977-,近藤, 弘, pub. 2020,田中俊行, 小西巌, 相原典明, 横山賢, 片桐奏羽, 近藤弘 著",数理物理出版会,"Tue, 23 May 2023 21:59:32 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC0230872X
4839965412,将棋AIで学ぶディープラーニング : 人より強い将棋プログラムを作る!,"山岡,忠夫",マイナビ出版,201803,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25933985
4798106577,教科書には載らないニッポンのインターネットの歴史教科書 (NT2X),ばるぼら,翔泳社,200505,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA72043261
430946730X,ヒーラ細胞の数奇な運命 : 医学の革命と忘れ去られた黒人女性 ス4-1 (河出文庫),"Skloot,Rebecca,1972- 中里,京子,1955-",河出書房新社,202103,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC06045225
4065225450,異端審問 2648 (講談社学術文庫),"渡辺,昌美,1930-2016",講談社,202102,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC05492192
4621061860,"暗号理論入門 : 暗号アルゴリズム, 署名と認証, その数学的基礎","Buchmann,Johannes 林,芳樹",丸善出版,201201,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09415618
4480864369,テキヤと社会主義 (単行本),猪野健治／著,筑摩書房,20150225,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18268048
4297112744,スペースキーで見た目を整えるのはやめなさい : 8割の社会人が見落とす資料作成のキホン,,技術評論社,202006,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB31007140
4797386673,この一冊で全部わかるネットワークの基本 (Informatics & IDEA. イラスト図解式 : わかりやすさにこだわった),"福永,勇二,1966-",SBクリエイティブ,201604,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB2113951X
4778315928,エロマンガ表現史 = The Expression History of Ero-Manga,"稀見,理都",太田出版,201711,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB24825444
4404042167,最新日本古代史の論争51,新人物往来社,新人物往来社,201206,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB10066312
4873119200,生成Deep Learning : 絵を描き、物語や音楽を作り、ゲームをプレイする,"Foster,David 松田,晃一,1960- 小沼,千絵",オーム社,202010,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC02850638
4297116014,揚げて炙ってわかるコンピュータのしくみ = Fry and Roast to understand how computer works,"秋田,純一,1970-",技術評論社,202009,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC01978294
4309463037,人間はどこまで耐えられるのか (河出文庫),"Ashcroft,FrancesM,1952- 矢羽野,薫,1969-",河出書房新社,200805,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA86186686
483188779X,なぜ人はカルトに惹かれるのか : 脱会支援の現場から,"瓜生,崇,1974-",法藏館,202005,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB30528920
4385107564,世界音声記号辞典,"Pullum,GeoffreyK,1945- Ladusaw,WilliamA,1952- ほか",三省堂,200305,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA62060333
4062922819,最暗黒の東京 2281 (講談社学術文庫),"松原,岩五郎,1866-1935",講談社,201502,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB1794211X
448009993X,叙任権闘争 フ－４３－１ (ちくま学芸文庫),オーギュスタン・フリシュ／著 野口洋二／翻訳,筑摩書房,20200713,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB31461406
4588140051,中世の食生活　〈新装版〉 断食と宴 378 (叢書・ウニベルシタス),B.A.ヘニッシュ／著 藤原保明／訳,法政大学出版局,20150223,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18095915
477419607X,試して理解Linuxのしくみ : 実験と図解で学ぶOSとハードウェアの基礎知識,"武内,覚",技術評論社,201803,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25526074
4296105353,みずほ銀行システム統合、苦闘の19年史 : 史上最大のITプロジェクト「3度目の正直」,"山端,宏実 岡部,一詩 中田,敦,1975-",日経BPマーケティング,202002,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB29707944
4061595180,常陸国風土記 : 全訳注 (講談社学術文庫),"秋本,吉徳,1947-",講談社,200110,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA55041474
4061598066,シャルルマーニュ伝説 : 中世の騎士ロマンス (講談社学術文庫),"Bulfinch,Thomas,1796-1867 市場,泰男,1924-2016",講談社,200702,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA80605221
4774198765,エンジニアの知的生産術 : 効率的に学び、整理し、アウトプットする (WEB+DB PRESS plusシリーズ),"西尾,泰和",技術評論社,201808,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26637489
4860114248,立体交差 : ジャンクション,"大山,顕",本の雑誌社,201902,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB27864158
4846008355,ヴァイブレーターの文化史,レイチェル・P・メインズ／著 佐藤雅彦／訳,論創社,20100120,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB00827933
4480092781,魔術的リアリズム : メランコリーの芸術 / ちくま学芸文庫 ; タ4-2,"種村, 季弘, 1933-2004,種村季弘 著",筑摩書房,"Sat, 10 Apr 2010 00:46:19 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB01202362
4167174057,うつくしい子ども (文春文庫),"石田,衣良,1960-",文藝春秋,200112,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA54785181
4314000430,幻想芸術,"Brion,Marcel 坂崎,乙郎",紀伊國屋書店,196805,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN04841271
4480093133,グレン・グールドは語る,グレン・グールド／著 ジョナサン・コット／著 宮澤淳一／翻訳,筑摩書房,20101001,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB03476507
4774176435,あなたの知らない超絶技巧プログラミングの世界,"遠藤,侑介",技術評論社,201510,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19571008
4622015994,攻撃 : 悪の自然誌,"Lorenz,Konrad,1903-1989 日高,敏隆,1930-2009 久保,和彦,1928-1989",みすず書房,198504,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN0041886X
4479750479,魔女論 : なぜ空を飛び、人を喰うか,"大和,岩雄,1928-",大和書房,201110,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB06978410
4891004568,コードコンプリート : 完全なプログラミングを目指して : マイクロソフト公式 下,"McConnell,Steve クイープ",日経BP出版センター,200503,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA7176045X
4062922177,醒睡笑 : 全訳注 2217 (講談社学術文庫),"安楽庵,策伝,1554-1642 宮尾,与男,1948-",講談社,201402,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB14787393
4434133632,Let Over Lambda : Edition 1.0,"Hoyte,Doug タイムインターメディア",星雲社,200907,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA9115019X
